SampleDate,DWC_Month,DWC_Year,StationCode,SampleTypeCode,Replicate,SampleComplete,FinalID,CommonName,ID_to_use,BAResult,DWC_BAResult_Numeric,Result,DWC_Result_Numeric,DWC_BAResult_Result,DWC_BAResult_Result_Numeric,UnitName
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Achnanthidium exiguum,,Achnanthidium exiguum,12,12,,,12,12,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Achnanthidium minutissimum,,Achnanthidium minutissimum,33,33,,,33,33,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Amphipleura pellucida,,Amphipleura pellucida,4,4,,,4,4,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Amphora copulata,,Amphora copulata,2,2,,,2,2,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Amphora pediculus,,Amphora pediculus,30,30,,,30,30,count
5/18/2012,5,2012,911TJKC1x,Microalgae,1,TRUE,Anabaena sp 2,,Anabaena sp 2,,,68697.69313,68697.69313,68697.69313,68697.69313,um3/cm2
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Bacillariophyceae,,Bacillariophyceae,8,8,,,8,8,count
5/18/2012,5,2012,911TJKC1x,Microalgae,1,TRUE,Calothrix cf parietina,,Calothrix parietina,,,41729.59045,41729.59045,41729.59045,41729.59045,um3/cm2
5/18/2012,5,2012,911TJKC1x,Microalgae,1,TRUE,Calothrix epiphytica,,Calothrix epiphytica,,,270305.5512,270305.5512,270305.5512,270305.5512,um3/cm2
5/18/2012,5,2012,911TJKC1x,Microalgae,1,TRUE,Chroodactylon ornatum,,Chroodactylon ornatum,,,44047.90103,44047.90103,44047.90103,44047.90103,um3/cm2
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Cocconeis placentula,,Cocconeis placentula,193,193,,,193,193,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Cyclotella meneghiniana,,Cyclotella meneghiniana,2,2,,,2,2,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Diatoma moniliformis,,Diatoma moniliformis,16,16,,,16,16,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Diploneis oblongella,,Diploneis oblongella,4,4,,,4,4,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Encyonema silesiacum,,Encyonema silesiacum,2,2,,,2,2,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Eolimna minima,Lump with Sellaphora atomoides,Sellaphora atomoides,28,28,,,28,28,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Epithemia adnata,,Epithemia adnata,8,8,,,8,8,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Epithemia gibba,,Epithemia gibba,2,2,,,2,2,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Epithemia sorex,,Epithemia sorex,26,26,,,26,26,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Epithemia turgida,,Epithemia turgida,4,4,,,4,4,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Fallacia indifferens,,Fallacia indifferens,7,7,,,7,7,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Gomphonema,,Exclude,6,6,,,6,6,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Gomphonema affine,,Gomphonema affine,2,2,,,2,2,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Gomphonema coronatum,,Gomphonema coronatum,2,2,,,2,2,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Gomphonema parvulum,,Gomphonema parvulum,4,4,,,4,4,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Halamphora veneta,,Halamphora veneta,2,2,,,2,2,count
5/18/2012,5,2012,911TJKC1x,Microalgae,1,TRUE,Heteroleibleinia sp 1,,Heteroleibleinia sp 1,,,2434.22611,2434.22611,2434.22611,2434.22611,um3/cm2
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Hippodonta capitata,,Hippodonta capitata,2,2,,,2,2,count
5/18/2012,5,2012,911TJKC1x,Microalgae,1,TRUE,Komvophoron minutum,,Komvophoron minutum,,,43603.1639,43603.1639,43603.1639,43603.1639,um3/cm2
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Mayamaea permitis,,Mayamaea permitis,4,4,,,4,4,count
5/18/2012,5,2012,911TJKC1x,Microalgae,1,TRUE,Mougeotia sp 2,,Mougeotia sp 2,,,6401375.951,6401375.951,6401375.951,6401375.951,um3/cm2
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Navicula cryptocephala,,Navicula cryptocephala,2,2,,,2,2,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Navicula cryptotenella,,Navicula cryptotenella,35,35,,,35,35,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Navicula gregaria,,Navicula gregaria,7,7,,,7,7,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Navicula libonensis,,Navicula libonensis,4,4,,,4,4,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Navicula menisculus,,Navicula menisculus,2,2,,,2,2,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Navicula perminuta,,Navicula perminuta,2,2,,,2,2,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Navicula veneta,,Navicula veneta,4,4,,,4,4,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Nitzschia,,Exclude,12,12,,,12,12,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Nitzschia amphibia,,Nitzschia amphibia,7,7,,,7,7,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Nitzschia archibaldii,,Nitzschia archibaldii,8,8,,,8,8,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Nitzschia dissipata,,Nitzschia dissipata,2,2,,,2,2,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Nitzschia fonticola,,Nitzschia fonticola,2,2,,,2,2,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Nitzschia frustulum,,Nitzschia frustulum,2,2,,,2,2,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Nitzschia inconspicua,,Nitzschia inconspicua,4,4,,,4,4,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Nitzschia lacuum,,Nitzschia lacuum,20,20,,,20,20,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Nitzschia linearis,,Nitzschia linearis,3,3,,,3,3,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Nitzschia palea,,Nitzschia palea,3,3,,,3,3,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Nitzschia perminuta,,Nitzschia perminuta,6,6,,,6,6,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Nitzschia recta,,Nitzschia recta,3,3,,,3,3,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Nitzschia supralitorea,,Nitzschia supralitorea,2,2,,,2,2,count
5/18/2012,5,2012,911TJKC1x,Integrated,1,TRUE,Nitzschia valdestriata,,Nitzschia valdestriata,1,1,,,1,1,count
5/18/2012,5,2012,911TJKC1x,Macroalgae,1,TRUE,Nostoc verrucosum,,Nostoc verrucosum,,,1.48E+11,1.48E+11,1.48E+11,1.48E+11,um3/cm2
5/18/2012,5,2012,911TJKC1x,Qualitative,1,TRUE,Nostoc verrucosum,,Nostoc verrucosum,,,,,,,count
