SampleDate,StationCode,StationName,ProjectCode,ProjectName,EventCode,EventName,AgencyCode,AgencyName,SampleComments,LocationCode,LocationName,SampleTypeCode,CollectionTime,CollectionMethodCode,Replicate,CollectionDepth,UnitCollectionDepth,ProtocolCode,ProtocolName,DWC_Month,DWC_Year,SampleComplete,DWC_SamplePurposeCode_PurposeFailureName_Concatenated,DWC_PersonnelCode_Concatenated,DWC_GroupSamples_GroupName_Concatenated,DWC_FundingCode_Concatenated,DWC_GroupProjectsLookUp_GroupName_Concatenated,DWC_GroupStationsLookUp_GroupName_Concatenated,GeometryShape,OccupationMethod,StartingBank,DistanceFromBank,UnitDistanceFromBank,StreamWidth,UnitStreamWidth,StationWaterDepth,UnitStationWaterDepth,Hydromod,HydromodLoc,LocationDetailWQComments,CollectionDeviceDescr,PositionWaterColumn,LabCollectionComments,CollectionComplete,EndDepth,Interval,UnitInterval,LabEffortWQComments,MatrixCode,MatrixName,MethodCode,MethodName,AnalyteCode,AnalyteName,FractionCode,FractionName,UnitCode,UnitName,DWC_AnalyteWFractionWMatrixWUnit,LabBatch,AnalysisDate,SampleID,LabSampleID,PrepPreservationCode,PrepPreservationName,PrepPreservationDate,DigestExtractCode,DigestExtractMethod,DigestExtractDate,LabReplicate,Result,ResQualCode,ResQualName,MDL,RL,DilutionFactor,QACode,DWC_QADescr_Expanded,ComplianceCode,ComplianceName,ExpectedValue,LabResultComments,LabResultDetailComments,DatabaseSide,SubmittingAgency,LabSubmissionCode,DWC_LabSubmissionDescr_Expanded,BatchVerificationCode,DWC_BatchVerificationDescr_Expanded,LabBatchComments,CoordinateSource,CoordinateNumber,TargetLatitude,TargetLongitude,Datum,Region
3/18/2015,911NP9UCW,Cottonwood Creek ~1.4mi above I8,RWB9_NPS_2015,RWB9 Nonperennial Stream Study 2015,BA,Bioassessment,RWQCB9,RWQCB9-San Diego Region,,X,BA Centroid,Integrated,9:20,Algae_SWAMP,1,-88,m,SWAMP_2007_WS,SWAMP_2007_WS,3,2015,TRUE,Algae - None; Benthics - None; FieldMeasure - None; Habitat - None; WaterChem - None,"Loflen, C.; Nagoda, C.; Woodward, D.",,,,,Point,,,,,,,,,,,,PVC Delimiter & Syringe Scrubber,Not Applicable,,TRUE,,,,,34,benthic,75,SM 10200 H-2b,409,Chlorophyll a,101,Particulate,60,mg/m2,Chlorophyll a; Particulate; benthic; mg/m2,WPCL_12789_B_CHL,4/9/2015,,L-122-15-06,18,"FieldFiltered, FieldFrozen",3/18/2015,29,SM 10200 H-1,4/8/2015,1,25.6,=,Equal To,0.69,0.86,1,None,None: None - No QA Qualifier,COM,Compliant,,,,perm,DFW-WPCL,A,A: Batch met project QA/QC protocols,VAC,VAC: Cursory verification of electronic data against MQOs including recalculation of %Rs and RPDs for QC samples,,GPS,1,32.81829,-116.49235,NAD83,9
3/18/2015,911NP9UCW,Cottonwood Creek ~1.4mi above I8,RWB9_NPS_2015,RWB9 Nonperennial Stream Study 2015,BA,Bioassessment,RWQCB9,RWQCB9-San Diego Region,,X,BA Centroid,Integrated,9:20,Algae_SWAMP,1,-88,m,SWAMP_2007_WS,SWAMP_2007_WS,3,2015,TRUE,Algae - None; Benthics - None; FieldMeasure - None; Habitat - None; WaterChem - None,"Loflen, C.; Nagoda, C.; Woodward, D.",,,,,Point,,,,,,,,,,,,PVC Delimiter & Syringe Scrubber,Not Applicable,,TRUE,,,,,34,benthic,229,WRS 73A.3,1164,AFDM_Algae,101,Particulate,61,g/m2,AFDM_Algae; Particulate; benthic; g/m2,WPCL_12802_B_AFDM,4/10/2015,,L-122-15-05,18,"FieldFiltered, FieldFrozen",3/18/2015,0,None,1/1/1950,1,27.1,=,Equal To,1.43,4.29,1,None,None: None - No QA Qualifier,COM,Compliant,,,,perm,DFW-WPCL,A,A: Batch met project QA/QC protocols,VAC,VAC: Cursory verification of electronic data against MQOs including recalculation of %Rs and RPDs for QC samples,LCS true value experimentally determined. IQC: FIELD RPD >25%,GPS,1,32.81829,-116.49235,NAD83,9
3/21/2016,909SWCASR,Stonewall Creek above Sweetwater River,RWB9_NPS_2016,RWB9 Nonperennial Stream Study 2016,BA,Bioassessment,RWQCB9,RWQCB9-San Diego Region,,X,BA Centroid,Integrated,9:30,Algae_SWAMP,1,-88,m,SWAMP_2007_WS,SWAMP_2007_WS,3,2016,TRUE,Algae - None; Benthics - None; FieldMeasure - None; Habitat - None; WaterChem - None,"Loflen, C.; Nagoda, C.; Woodward, D.",,,,,Point,,,,,,,,,,,,"PVC Delimiter, Rubber Delimiter, & Syringe Scrubber",Not Applicable,,TRUE,,,,,34,benthic,75,SM 10200 H-2b,409,Chlorophyll a,101,Particulate,60,mg/m2,Chlorophyll a; Particulate; benthic; mg/m2,WPCL_13718_B_CHL,4/27/2016,,L-123-16-06,18,"FieldFiltered, FieldFrozen",3/21/2016,29,SM 10200 H-1,4/26/2016,1,11.3,=,Equal To,0.68,0.85,1,None,None: None - No QA Qualifier,COM,Compliant,,,,perm,DFW-WPCL,A,A: Batch met project QA/QC protocols,VAC,VAC: Cursory verification of electronic data against MQOs including recalculation of %Rs and RPDs for QC samples,,Map,1,32.94249,-116.55409,NAD83,9
3/23/2015,911S01142,Pine Valley Creek ~0.9mi below Espinosa Cr.,RWB9_NPS_2015,RWB9 Nonperennial Stream Study 2015,BA,Bioassessment,RWQCB9,RWQCB9-San Diego Region,,X,BA Centroid,Integrated,11:45,Algae_SWAMP,1,-88,m,SWAMP_2007_WS,SWAMP_2007_WS,3,2015,TRUE,Algae - None; Benthics - None; FieldMeasure - None; Habitat - None; WaterChem - None,"Loflen, C.; Nagoda, C.; Woodward, D.; Yu, H.",,,,,Point,,,,,,,,,,,,"PVC Delimiter, Rubber Delimiter, & Syringe Scrubber",Not Applicable,,TRUE,,,,,34,benthic,75,SM 10200 H-2b,409,Chlorophyll a,101,Particulate,60,mg/m2,Chlorophyll a; Particulate; benthic; mg/m2,WPCL_12789_B_CHL,4/9/2015,,L-128-15-11 Dup,18,"FieldFiltered, FieldFrozen",3/23/2015,29,SM 10200 H-1,4/8/2015,2,2.51,=,Equal To,0.6,0.75,1,None,None: None - No QA Qualifier,COM,Compliant,,RPD 13.2,,perm,DFW-WPCL,A,A: Batch met project QA/QC protocols,VAC,VAC: Cursory verification of electronic data against MQOs including recalculation of %Rs and RPDs for QC samples,,Map,1,32.735477,-116.652682,NAD83,9
3/23/2015,911S01142,Pine Valley Creek ~0.9mi below Espinosa Cr.,RWB9_NPS_2015,RWB9 Nonperennial Stream Study 2015,BA,Bioassessment,RWQCB9,RWQCB9-San Diego Region,,X,BA Centroid,Integrated,11:45,Algae_SWAMP,1,-88,m,SWAMP_2007_WS,SWAMP_2007_WS,3,2015,TRUE,Algae - None; Benthics - None; FieldMeasure - None; Habitat - None; WaterChem - None,"Loflen, C.; Nagoda, C.; Woodward, D.; Yu, H.",,,,,Point,,,,,,,,,,,,"PVC Delimiter, Rubber Delimiter, & Syringe Scrubber",Not Applicable,,TRUE,,,,,34,benthic,229,WRS 73A.3,1164,AFDM_Algae,101,Particulate,61,g/m2,AFDM_Algae; Particulate; benthic; g/m2,WPCL_12802_B_AFDM,4/10/2015,,L-128-15-09,18,"FieldFiltered, FieldFrozen",3/23/2015,0,None,1/1/1950,1,12.3,=,Equal To,1.25,3.75,1,None,None: None - No QA Qualifier,COM,Compliant,,,,perm,DFW-WPCL,A,A: Batch met project QA/QC protocols,VAC,VAC: Cursory verification of electronic data against MQOs including recalculation of %Rs and RPDs for QC samples,LCS true value experimentally determined. IQC: FIELD RPD >25%,Map,1,32.735477,-116.652682,NAD83,9
3/24/2016,911S00858,Indian creek ~1.2mi above Deer Park Rd.,RWB9_NPS_2016,RWB9 Nonperennial Stream Study 2016,BA,Bioassessment,RWQCB9,RWQCB9-San Diego Region,<25 cobbles were found,X,BA Centroid,Integrated,10:30,Algae_SWAMP,1,-88,m,SWAMP_2007_WS,SWAMP_2007_WS,3,2016,TRUE,Algae - None; Benthics - None; FieldMeasure - None; Habitat - None; WaterChem - None,"Fetscher, B.; Loflen, C.; Woodward, D.",,,,,Point,,,,,,,,,,,,"PVC Delimiter, Rubber Delimiter, & Syringe Scrubber",Not Applicable,,TRUE,,,,,34,benthic,229,WRS 73A.3,1164,AFDM_Algae,101,Particulate,61,g/m2,AFDM_Algae; Particulate; benthic; g/m2,WPCL_13759_B_AFDM,4/15/2016,,L-131-16-05,18,"FieldFiltered, FieldFrozen",3/24/2016,0,None,1/1/1950,1,194,=,Equal To,2.04,6.13,1,None,None: None - No QA Qualifier,COM,Compliant,,,,perm,DFW-WPCL,A,A: Batch met project QA/QC protocols,VAC,VAC: Cursory verification of electronic data against MQOs including recalculation of %Rs and RPDs for QC samples,LCS true value experimentally determined.,map,1,32.902824,-116.493371,WGS84,9
3/25/2014,903NP9SLR,San Luis Rey at Indian Flats,RWB9_NPS_2014,RWB9 Nonperennial Stream Study 2014,BA,Bioassessment,DFW-ABL,Aquatic Bioassessment Lab - DFW,Too few cobles,X,BA Centroid,Integrated,15:00,Algae_SWAMP,1,-88,m,SWAMP_2007_WS,SWAMP_2007_WS,3,2014,TRUE,Algae - None; Benthics - None; FieldMeasure - None; Habitat - None; WaterChem - None,"Mack, N.; Sibbald, G.",,,,,Point,,,,,,,,,,,,PVC Delimiter,Not Applicable,,TRUE,,,,,34,benthic,75,SM 10200 H-2b,409,Chlorophyll a,101,Particulate,60,mg/m2,Chlorophyll a; Particulate; benthic; mg/m2,WPCL_11614_W_CHL,4/16/2014,,L-139-14-17,18,"FieldFiltered, FieldFrozen",3/25/2014,29,SM 10200 H-1,4/15/2014,1,2.24,=,Equal To,0.84,1.05,1,None,None: None - No QA Qualifier,COM,Compliant,,,,perm,DFW-WPCL,A,A: Batch met project QA/QC protocols,VAC,VAC: Cursory verification of electronic data against MQOs including recalculation of %Rs and RPDs for QC samples,,GPS,1,33.34992,-116.6649,NAD83,9
3/22/2016,903NP9SLR,San Luis Rey at Indian Flats,RWB9_NPS_2016,RWB9 Nonperennial Stream Study 2016,BA,Bioassessment,RWQCB9,RWQCB9-San Diego Region,,X,BA Centroid,Integrated,10:30,Algae_SWAMP,1,-88,m,SWAMP_2007_WS,SWAMP_2007_WS,3,2016,TRUE,Algae - None; Benthics - None; FieldMeasure - None; Habitat - None; WaterChem - None,"Fetscher, B.; Loflen, C.; Woodward, D.",,,,,Point,,,,,,,,,,,,"PVC Delimiter, Rubber Delimiter, & Syringe Scrubber",Not Applicable,,TRUE,,,,,34,benthic,75,SM 10200 H-2b,409,Chlorophyll a,101,Particulate,60,mg/m2,Chlorophyll a; Particulate; benthic; mg/m2,WPCL_13718_B_CHL,4/27/2016,,L-125-16-06,18,"FieldFiltered, FieldFrozen",3/22/2016,29,SM 10200 H-1,4/26/2016,1,45.8,=,Equal To,5.08,6.35,7,D,D: EPA Flag - Analytes analyzed at a secondary dilution,COM,Compliant,,,,perm,DFW-WPCL,A,A: Batch met project QA/QC protocols,VAC,VAC: Cursory verification of electronic data against MQOs including recalculation of %Rs and RPDs for QC samples,,GPS,1,33.34992,-116.6649,NAD83,9
3/25/2014,905DGCC1x,Carney Canyon in Pamo Valley,RWB9_NPS_2014,RWB9 Nonperennial Stream Study 2014,BA,Bioassessment,DFW-ABL,Aquatic Bioassessment Lab - DFW,Too few cobles - Shortened reach due to isolated pools,X,BA Centroid,Integrated,14:00,Algae_SWAMP,1,-88,m,SWAMP_2007_WS,SWAMP_2007_WS,3,2014,TRUE,Algae - None; Benthics - None; FieldMeasure - None; Habitat - None; WaterChem - None,"McBride, S.; York, J.",,,,,Point,,,,,,,,,,,,Rubber Delimiter,Not Applicable,,TRUE,,,,,34,benthic,229,WRS 73A.3,1164,AFDM_Algae,101,Particulate,61,g/m2,AFDM_Algae; Particulate; benthic; g/m2,WPCL_11628_W_AFDM,4/15/2014,,L-139-14-13,18,"FieldFiltered, FieldFrozen",3/25/2014,0,None,1/1/1950,1,19.4,=,Equal To,1.44,4.33,1,None,None: None - No QA Qualifier,COM,Compliant,,,,perm,DFW-WPCL,A,A: Batch met project QA/QC protocols,VAC,VAC: Cursory verification of electronic data against MQOs including recalculation of %Rs and RPDs for QC samples,LCS true value experimentally determined,GPS,1,33.157712,-116.840843,NAD83,9
3/26/2014,901NP9LCC,Long Canyon Creek above Ortega Falls,RWB9_NPS_2014,RWB9 Nonperennial Stream Study 2014,BA,Bioassessment,DFW-ABL,Aquatic Bioassessment Lab - DFW,Too few cobles,X,BA Centroid,Integrated,10:30,Algae_SWAMP,1,-88,m,SWAMP_2007_WS,SWAMP_2007_WS,3,2014,TRUE,Algae - None; Benthics - None; FieldMeasure - None; Habitat - None; WaterChem - None,"Mack, N.; Sibbald, G.",,,,,Point,,,,,,,,,,,,PVC Delimiter,Not Applicable,,TRUE,,,,,34,benthic,229,WRS 73A.3,1164,AFDM_Algae,101,Particulate,61,g/m2,AFDM_Algae; Particulate; benthic; g/m2,WPCL_11628_W_AFDM,4/15/2014,,L-140-14-14,18,"FieldFiltered, FieldFrozen",3/26/2014,0,None,1/1/1950,1,11.4,=,Equal To,1.89,5.68,1,None,None: None - No QA Qualifier,COM,Compliant,,,,perm,DFW-WPCL,A,A: Batch met project QA/QC protocols,VAC,VAC: Cursory verification of electronic data against MQOs including recalculation of %Rs and RPDs for QC samples,LCS true value experimentally determined,GPS,1,33.62752,-117.42857,NAD83,9
