"","sampleid","SampleDate","StationCode","Replicate","total_abund","Agabus","Atractides","Baetis","Bezzia__Palpomyia","Capniidae","Centroptilum","Diamesinae","Dytiscidae","Isoperla","Micrasema","Orthocladiinae","Ostracoda","Podonominae","Rhyacophila","Sanfilippodytes","Simulium","Sperchon","Taeniopterygidae","Tanytarsini","Tinodes","Tipulidae","Ceratopogon","Chironomini","Euparyphus","Gammarus","Gumaga","Hyalella","Lepidostoma","Oligochaeta","Paraleptophlebia","Pisidium","Stictotarsus","Tanypodinae","Turbellaria","Dasyhelea","Empididae","Gyraulus","Hydraena","Hydroptila","Muscidae","Oreodytes","Physa","Planorbidae","Agathon","Callibaetis","Coenagrionidae","Hydrophilidae","Nemouridae","Philorus","Probezzia","Psychoda","Wormaldia","Prosimulium","Culicidae","Culicoides","Stilobezzia","Ochrotrichia","Caenis_bajaensis","Ephydridae","Hydropsychidae","Lebertia","Meringodixa","Serromyia","Atrichopogon","Corydalidae","Fallceon","Gerridae","Libellulidae","Archilestes","Corixidae","Dixella","Gyrinidae","Odontomyia","Peltodytes","Pseudochironomus","Uvarus_subtilis","Eylais","Hygrobates","Limnesia","Mideopsis","Prostoma","Ameletus","Chloroperlidae","Heptageniidae","Dolichopodidae","Dytiscus","Tropisternus","Dixa","Leuctridae","Gastropoda","Maruina","Crangonyx","Pericoma__Telmatoscopus","Helichus","Ordobrevia_nubifera","Zaitzevia","Matriella_teresa","Sciomyzidae","Lestes","Blepharicera","Diphetor_hageni","Drunella_coloradensis","Glossosoma","Laccobius","Prodiamesinae","Ochthebius","Amphipoda","Scirtidae","Arrenurus","Hydrobiidae","Hydrotrupes_palpalis","Aeshnidae","Dolophilodes","Hydra","Lymnaea","Thyopsoides","Veliidae","Belostomatidae","Acari","Serratella_micheneri","Agapetus","Ephemerella_maculata","Serratella_teresa","Siphlonurus","Anacaena","Berosus","Mesobates","Cordulegaster_dorsalis","Eubrianax_edwardsii","Frontipoda","Tabanidae","Hypsogastropoda","Limnephilidae","Torrenticola","Cymbiodyta","Eucorethra_underwoodi","Microcylloepus","Ambrysus","Perlidae","Stygothrombium","Optioservus_divergens","Cultus","Glossiphoniidae","Glutops","Paracymus","Postelichus","Unionicolidae","Helicopsyche","Liodessus","Hydroporus","Isopoda","Heterlimnius","Helochares_normatus","Serratella_tibialis","Thaumaleidae","Enochrus","Forcipomyia","Acentrella_insignificans","Agabinus","Nemotelus","Stratiomys","Helisoma","Juga","Limnochares","Drunella_flavilinea","Hydroscapha_natans","Oecetis","Tricorythodes","Polycentropus","Testudacarus","Sperchonopsis","Oxyethira","Deuterophlebia","Hydrodroma","Cloeodes_excogitatus","Neoclypeodytes","Procloeon","Brachycentrus_echo","Chaetarthria","Elmidae","Limnebius","Sphaerium","Staphylinidae","Hydrachna","Laccophilus","Notonectidae","Ametor","Hydrobius_fuscipes","Gomphidae","Erpobdellidae","Hygrotus","Hetaerina_americana","Haliplus","Oecetis_disjuncta","Hydrochus","Caenis_latipennis"
"1","3/18/2013_911TJKC1x_1","3/18/2013","911TJKC1x",1,472,0.00847457627118644,0.00211864406779661,0.201271186440678,0.0190677966101695,0.0148305084745763,0.0550847457627119,0.00847457627118644,0.0296610169491525,0.0233050847457627,0.0127118644067797,0.453389830508475,0.0317796610169492,0.00211864406779661,0.0105932203389831,0.00211864406779661,0.0148305084745763,0.00211864406779661,0.0529661016949153,0.0508474576271186,0.00211864406779661,0.00211864406779661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","3/18/2013_911TJLCC2_1","3/18/2013","911TJLCC2",1,286,0,0,0.0384615384615385,0,0,0,0,0,0.027972027972028,0.0314685314685315,0.0874125874125874,0,0.0104895104895105,0,0,0,0,0.0104895104895105,0.65034965034965,0,0.00699300699300699,0.00699300699300699,0.0034965034965035,0.0104895104895105,0.0104895104895105,0.00699300699300699,0.0034965034965035,0.0034965034965035,0.0174825174825175,0.00699300699300699,0.0034965034965035,0.034965034965035,0.0244755244755245,0.0034965034965035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","3/18/2015_911NP9UCW_1","3/18/2015","911NP9UCW",1,642,0,0,0.0373831775700935,0.00155763239875389,0,0.0856697819314642,0,0.0482866043613707,0.0358255451713396,0,0.299065420560748,0.0109034267912773,0.00155763239875389,0,0,0.00623052959501558,0,0,0.105919003115265,0,0.00155763239875389,0,0.00934579439252336,0,0,0,0,0,0.247663551401869,0.0529595015576324,0,0.00311526479750779,0.0124610591900312,0,0.00155763239875389,0.00311526479750779,0.00778816199376947,0.00311526479750779,0.0109034267912773,0.00155763239875389,0.00311526479750779,0.00623052959501558,0.00311526479750779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","3/20/2017_902NP9CWC_1","3/20/2017","902NP9CWC",1,466,0.00429184549356223,0,0.0128755364806867,0,0,0,0,0.00643776824034335,0,0,0.560085836909871,0.0128755364806867,0.0321888412017167,0.055793991416309,0,0.036480686695279,0,0.0343347639484979,0.0257510729613734,0,0.00429184549356223,0,0.00858369098712446,0,0,0,0,0,0.00429184549356223,0,0,0,0.0128755364806867,0,0.00214592274678112,0.036480686695279,0,0,0.00214592274678112,0,0.0815450643776824,0,0,0.0128755364806867,0.00429184549356223,0.00429184549356223,0.00214592274678112,0.00643776824034335,0.01931330472103,0.0128755364806867,0.00214592274678112,0.00214592274678112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","3/21/2016_909SWCASR_1","3/21/2016","909SWCASR",1,600,0.00333333333333333,0.00166666666666667,0.005,0,0,0,0,0.005,0,0,0.376666666666667,0.348333333333333,0.00666666666666667,0,0,0.0116666666666667,0,0.015,0.09,0,0,0,0.0133333333333333,0,0,0,0,0,0.09,0,0,0.00166666666666667,0.015,0,0,0,0.00666666666666667,0.00166666666666667,0,0.00166666666666667,0,0,0,0,0,0,0.005,0,0,0,0,0,0.00166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","3/23/2015_911S01142_1","3/23/2015","911S01142",1,254,0.0118110236220472,0,0,0.0275590551181102,0,0,0,0,0,0,0.0511811023622047,0.322834645669291,0,0,0,0.00393700787401575,0,0,0.031496062992126,0,0,0,0.0354330708661417,0,0,0,0,0,0.220472440944882,0,0,0,0,0,0,0,0,0,0,0,0,0.0118110236220472,0,0,0,0,0,0,0,0,0,0,0,0.271653543307087,0.0078740157480315,0.00393700787401575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","3/24/2014_911NP9ATC_1","3/24/2014","911NP9ATC",1,571,0,0.00175131348511384,0.134851138353765,0.010507880910683,0,0.0140105078809107,0,0.0262697022767075,0.010507880910683,0,0.339754816112084,0.00175131348511384,0,0.00175131348511384,0.00525394045534151,0.0157618213660245,0,0,0.260945709281961,0,0.010507880910683,0,0.0192644483362522,0.00350262697022767,0,0,0,0,0.0140105078809107,0.0245183887915937,0,0.0175131348511384,0.0595446584938704,0,0,0.00700525394045534,0,0,0,0,0,0,0,0,0.00175131348511384,0,0,0,0,0,0,0,0.00875656742556918,0,0,0,0.010507880910683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","3/24/2014_911NP9UCW_1","3/24/2014","911NP9UCW",1,612,0,0,0.173202614379085,0.00163398692810458,0,0,0,0,0.0065359477124183,0.00163398692810458,0.490196078431373,0.00163398692810458,0,0.00490196078431373,0,0.0522875816993464,0,0,0.0751633986928105,0,0,0,0.0212418300653595,0.0065359477124183,0,0,0,0,0.00490196078431373,0.0620915032679739,0,0.00490196078431373,0.0326797385620915,0,0.00490196078431373,0.00163398692810458,0,0.00490196078431373,0.0065359477124183,0,0.0163398692810458,0.00326797385620915,0,0,0.00163398692810458,0.00163398692810458,0,0,0,0,0,0,0,0,0,0,0,0.00163398692810458,0.00326797385620915,0.00163398692810458,0.00163398692810458,0.0065359477124183,0.00490196078431373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","3/24/2015_911COPPER_1","3/24/2015","911COPPER",1,587,0,0,0.0238500851788756,0,0,0,0,0,0,0,0.192504258943782,0.0664395229982964,0,0,0,0.0477001703577513,0,0,0.509369676320273,0.00511073253833049,0,0,0.0272572402044293,0.00170357751277683,0,0,0.00511073253833049,0,0.0170357751277683,0,0,0,0.0425894378194208,0.00170357751277683,0.00340715502555366,0,0,0,0.010221465076661,0.00170357751277683,0,0.0153321976149915,0,0,0,0.00170357751277683,0,0,0,0,0,0,0,0.00170357751277683,0,0,0,0,0,0.00170357751277683,0,0,0,0.00170357751277683,0.00511073253833049,0.0119250425894378,0.00170357751277683,0.00340715502555366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","3/24/2016_911S00858_1","3/24/2016","911S00858",1,588,0,0.00170068027210884,0,0.0238095238095238,0.0357142857142857,0.00170068027210884,0,0,0,0,0.292517006802721,0.285714285714286,0.00850340136054422,0.00170068027210884,0.00170068027210884,0.00170068027210884,0.00340136054421769,0.0255102040816327,0.0153061224489796,0,0,0,0,0,0,0,0,0,0.290816326530612,0,0,0,0.00340136054421769,0,0,0,0.00340136054421769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00340136054421769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","3/25/2014_905DGCC1x_1","3/25/2014","905DGCC1x",1,652,0,0,0,0.00460122699386503,0,0,0,0.0138036809815951,0,0,0.205521472392638,0.00613496932515337,0,0,0,0.00153374233128834,0,0,0.161042944785276,0,0.00153374233128834,0,0.147239263803681,0,0,0,0,0,0.00460122699386503,0.00460122699386503,0,0.0138036809815951,0.136503067484663,0,0.0950920245398773,0,0,0,0,0,0,0.0460122699386503,0.00153374233128834,0,0.0291411042944785,0,0.00613496932515337,0,0,0,0,0,0,0.00920245398773006,0,0,0.00153374233128834,0,0.0122699386503067,0,0,0,0,0,0,0,0,0,0.00613496932515337,0.00153374233128834,0.00766871165644172,0.00153374233128834,0.00153374233128834,0.00153374233128834,0.0766871165644172,0.00153374233128834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
